LOCODE,Country,Code,Country Name,Rules
AD,AD,,#REF!,#REF!
ADALV,AD,ALV,#REF!,#REF!
ADCAN,AD,CAN,#REF!,#REF!
ADENC,AD,ENC,#REF!,#REF!
ADESC,AD,ESC,#REF!,#REF!
ADEAC,AD,EAC,#REF!,#REF!
ADFMO,AD,FMO,#REF!,#REF!
ADLMA,AD,LMA,#REF!,#REF!
ADORD,AD,ORD,#REF!,#REF!
ADPAS,AD,PAS,#REF!,#REF!
ADSJL,AD,SJL,#REF!,#REF!
ADSCO,AD,SCO,#REF!,#REF!
AE,AE,,#REF!,#REF!
AEABU,AE,ABU,#REF!,#REF!
AEAUH,AE,AUH,#REF!,#REF!
AEAMU,AE,AMU,#REF!,#REF!
AEARP,AE,ARP,#REF!,#REF!
AEAJM,AE,AJM,#REF!,#REF!
AEAAN,AE,AAN,#REF!,#REF!
AEALB,AE,ALB,#REF!,#REF!
AEDHF,AE,DHF,#REF!,#REF!
AEFJR,AE,FJR,#REF!,#REF!
AEHAM,AE,HAM,#REF!,#REF!
AEJAZ,AE,JAZ,#REF!,#REF!
AEAJP,AE,AJP,#REF!,#REF!
AEDBI,AE,DBI,#REF!,#REF!
AEALQ,AE,ALQ,#REF!,#REF!
AEALS,AE,ALS,#REF!,#REF!
AERUW,AE,RUW,#REF!,#REF!
AEARZ,AE,ARZ,#REF!,#REF!
AEDAS,AE,DAS,#REF!,#REF!
AEDER,AE,DER,#REF!,#REF!
AEDBP,AE,DBP,#REF!,#REF!
AEDXB,AE,DXB,#REF!,#REF!
AEDWC,AE,DWC,#REF!,#REF!
AEEND,AE,END,#REF!,#REF!
AEFAT,AE,FAT,#REF!,#REF!
AEFRP,AE,FRP,#REF!,#REF!
AEHAB,AE,HAB,#REF!,#REF!
AEHIL,AE,HIL,#REF!,#REF!
AEHZP,AE,HZP,#REF!,#REF!
AEHSN,AE,HSN,#REF!,#REF!
AEHAT,AE,HAT,#REF!,#REF!
AEHTL,AE,HTL,#REF!,#REF!
AEIND,AE,IND,#REF!,#REF!
AEJEA,AE,JEA,#REF!,#REF!
AEQWE,AE,QWE,#REF!,#REF!
AEJED,AE,JED,#REF!,#REF!
AEJYH,AE,JYH,#REF!,#REF!
AEKLB,AE,KLB,#REF!,#REF!
AEKHA,AE,KHA,#REF!,#REF!
AEKLF,AE,KLF,#REF!,#REF!
AEMAS,AE,MAS,#REF!,#REF!
AEMKH,AE,MKH,#REF!,#REF!
AEKHL,AE,KHL,#REF!,#REF!
AEMRP,AE,MRP,#REF!,#REF!
AEMSA,AE,MSA,#REF!,#REF!
AEMZD,AE,MZD,#REF!,#REF!
AENHD,AE,NHD,#REF!,#REF!
AERFA,AE,RFA,#REF!,#REF!
AEMUB,AE,MUB,#REF!,#REF!
AEMBS,AE,MBS,#REF!,#REF!
AEFMZ,AE,FMZ,#REF!,#REF!
AEAMF,AE,AMF,#REF!,#REF!
AEOFJ,AE,OFJ,#REF!,#REF!
AEPRA,AE,PRA,#REF!,#REF!
AERKP,AE,RKP,#REF!,#REF!
AERMC,AE,RMC,#REF!,#REF!
AERKT,AE,RKT,#REF!,#REF!
AERAK,AE,RAK,#REF!,#REF!
AEDUY,AE,DUY,#REF!,#REF!
AEREI,AE,REI,#REF!,#REF!
AE,AE,,#REF!,#REF!
AERWP,AE,RWP,#REF!,#REF!
AESID,AE,SID,#REF!,#REF!
AESHJ,AE,SHJ,#REF!,#REF!
AESIL,AE,SIL,#REF!,#REF!
AESRT,AE,SRT,#REF!,#REF!
AESWE,AE,SWE,#REF!,#REF!
AEDUJ,AE,DUJ,#REF!,#REF!
AEULR,AE,ULR,#REF!,#REF!
AEQIW,AE,QIW,#REF!,#REF!
AEVHT,AE,VHT,#REF!,#REF!
AEYAS,AE,YAS,#REF!,#REF!
AEZUR,AE,ZUR,#REF!,#REF!
AF,AF,,#REF!,#REF!
AFASH,AF,ASH,#REF!,#REF!
AFBAG,AF,BAG,#REF!,#REF!
AFBIN,AF,BIN,#REF!,#REF!
AFBEP,AF,BEP,#REF!,#REF!
AFBST,AF,BST,#REF!,#REF!
AFCBN,AF,CBN,#REF!,#REF!
AFCDW,AF,CDW,#REF!,#REF!
AFCLN,AF,CLN,#REF!,#REF!
AFCSO,AF,CSO,#REF!,#REF!
AFCWO,AF,CWO,#REF!,#REF!
AFCCN,AF,CCN,#REF!,#REF!
AFDAZ,AF,DAZ,#REF!,#REF!
AFDHD,AF,DHD,#REF!,#REF!
AFISQ,AF,ISQ,#REF!,#REF!
AFFBD,AF,FBD,#REF!,#REF!
AFFAH,AF,FAH,#REF!,#REF!
AFFRO,AF,FRO,#REF!,#REF!
AFRMD,AF,RMD,#REF!,#REF!
AFSHK,AF,SHK,#REF!,#REF!
AFGRG,AF,GRG,#REF!,#REF!
AFGAR,AF,GAR,#REF!,#REF!
AFGZI,AF,GZI,#REF!,#REF!
AFHRT,AF,HRT,#REF!,#REF!
AFHEA,AF,HEA,#REF!,#REF!
AFJAA,AF,JAA,#REF!,#REF!
AFKBL,AF,KBL,#REF!,#REF!
AFKMU,AF,KMU,#REF!,#REF!
AFKDH,AF,KDH,#REF!,#REF!
AFKHT,AF,KHT,#REF!,#REF!
AFKHO,AF,KHO,#REF!,#REF!
AFKWT,AF,KWT,#REF!,#REF!
AFKWH,AF,KWH,#REF!,#REF!
AFUND,AF,UND,#REF!,#REF!
AFKUR,AF,KUR,#REF!,#REF!
AFLAG,AF,LAG,#REF!,#REF!
AFMMZ,AF,MMZ,#REF!,#REF!
AFMWD,AF,MWD,#REF!,#REF!
AFMAS,AF,MAS,#REF!,#REF!
AFMZR,AF,MZR,#REF!,#REF!
